video_id,video_name,channel_title,channel_id,published_at,thumbnail_url,type, depht
C3TIcdyPtRg,"Articulada por Bolsonaro, troca de líder do PSL na Câmara é mais novo capítulo de crise na sigla",Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T12:14:56.000Z,https://i.ytimg.com/vi/C3TIcdyPtRg/default.jpg,video relacionado,3
XQOQI1z6Zyk,이상형 10명 한번에 만나기,Solfa,UC6XZ4fmiUPQk6ws6fGs2rQg,2018-05-07T09:27:19.000Z,https://i.ytimg.com/vi/XQOQI1z6Zyk/default.jpg,video relacionado,3
t5s83aepS7s,Colocamos uma GAROTA DE PROGRAMA e um PASTOR EVANGÉLICO pra conversar (sem que eles soubessem disso),Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-06-08T16:03:28.000Z,https://i.ytimg.com/vi/t5s83aepS7s/default.jpg,video relacionado,3
jCUNex5JSCc,Juíza manda VERDADES na cara de adolescentes rebeldes! | TRATAMENTO DE CHOQUE | A&E,Canal A&E Brasil,UCqBZJr3hZPQZtXvf0RzaM0A,2019-08-23T16:01:40.000Z,https://i.ytimg.com/vi/jCUNex5JSCc/default.jpg,video relacionado,3
a00ZHkIMZKU,AO VIVO -STF julga prisão em 2ª instância,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T16:59:51.000Z,https://i.ytimg.com/vi/a00ZHkIMZKU/default_live.jpg,video relacionado,3
zePFRKmBsjY,6 CRIMINOSOS QUE SURTARAM APÓS A CONDENAÇÃO,MEGA FATOS,UCC14Fq2GD3dUMj6Pq0qcdlg,2018-09-06T11:28:41.000Z,https://i.ytimg.com/vi/zePFRKmBsjY/default.jpg,video relacionado,3
mNpcJQg_fX4,"""As feministas me odeiam"", revela Thammy Miranda | Pânico",Pânico Jovem Pan,UC9U4nIDyIzzelXrjNQXNvxA,2017-03-08T16:09:04.000Z,https://i.ytimg.com/vi/mNpcJQg_fX4/default.jpg,video relacionado,3
73EVs3Qyj7o,"""Homens são privilegiados. Mude a minha opinião.""",Spotniks,UCr88VYLpASHODHBn7Nh_iJw,2019-08-31T00:47:39.000Z,https://i.ytimg.com/vi/73EVs3Qyj7o/default.jpg,video relacionado,3
a00ZHkIMZKU,AO VIVO -STF julga prisão em 2ª instância,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T16:59:51.000Z,https://i.ytimg.com/vi/a00ZHkIMZKU/default_live.jpg,video relacionado,3
-zHc9l0mDNY,"Mudança de opinião / Direita Flaviana / Silvano Silva, Te atualizei e Vista Pátria - Lava Toga",Bruno Jonssen,UCLdb4w1DEd_W0EycQCQYGUw,2019-09-17T21:35:58.000Z,https://i.ytimg.com/vi/-zHc9l0mDNY/default.jpg,video relacionado,3
Rh9Ff2LM9v4,Maia faz festa de aniversário para Alexandre Frota Em sua residência ao som de Marília Mendonça!,Brasil notícias,UCDpw6-Kl_ltcf0AKBA1oKsA,2019-10-16T22:42:16.000Z,https://i.ytimg.com/vi/Rh9Ff2LM9v4/default.jpg,video relacionado,3
SGvkd4CDX2o,SUPREMO pode LIBERTAR LULA ainda AMANHÃ!!! MAAAAS...,Samuel Borelli,UC3gQ9lIiPQj7frT5CE5QyRA,2019-10-16T21:02:46.000Z,https://i.ytimg.com/vi/SGvkd4CDX2o/default.jpg,video relacionado,3
ueQ1aJq4iH0,"Bolsonaro diz para apoiador: ""Esquece o PSL - Bivar está q.u.e.i.m.a.d.o.""",Bruno Jonssen,UCLdb4w1DEd_W0EycQCQYGUw,2019-10-08T18:54:16.000Z,https://i.ytimg.com/vi/ueQ1aJq4iH0/default.jpg,video relacionado,3
XmAUdfvQI40,MAIA e FROTA comemoram com ANTI BOLSONAROS!!!,URGENTE Samuel Borelli,UCtAjBgM7xPXGvbs2xEcrEmg,2019-10-16T20:06:50.000Z,https://i.ytimg.com/vi/XmAUdfvQI40/default.jpg,video relacionado,3
sHwUel0cARM,QUARTÉIS AGITADOS! Decisão do Supremo pode desencadear um tsunami incontrolável por todo o Brasil,Seu Tube,UC_SVoIQjSkLNsXOuxe2n6mg,2019-10-15T23:11:45.000Z,https://i.ytimg.com/vi/sHwUel0cARM/default.jpg,video relacionado,3
a00ZHkIMZKU,AO VIVO -STF julga prisão em 2ª instância,Jovem Pan News,UCP391YRAjSOdM_bwievgaZA,2019-10-17T16:59:51.000Z,https://i.ytimg.com/vi/a00ZHkIMZKU/default_live.jpg,video relacionado,3
j8baP0M_PS0,Chico Xavier no fantástico,Demontiê Aragão,UCVefeS7wWhZ_PgVXSIDtCLA,2006-07-24T02:50:49.000Z,https://i.ytimg.com/vi/j8baP0M_PS0/default.jpg,video relacionado,3
e1gSZl7LJ-k,Datena entrevista Jair Bolsonaro,Agora É Domingo,UC2qIiag94agLsvJGjkEV34Q,2018-04-23T16:50:57.000Z,https://i.ytimg.com/vi/e1gSZl7LJ-k/default.jpg,video relacionado,3
YfH6JZ1HAEg,FOI ENCONTRADA E TRADUZIDA UMA CARTA DE 300 ANOS ''ESCRITA PELO DEMÔNIO'',Tio Lu,UCUA-pQmmsor1nWCqFRr-zSw,2019-08-28T19:05:55.000Z,https://i.ytimg.com/vi/YfH6JZ1HAEg/default.jpg,video relacionado,3
EXLMzPGkq6g,EXPERIÊNCIA QUASE MORTE –  A morte não existe | NEAR DEATH EXPERIENCE – Death does not exist,"AFINAL, O QUE SOMOS NÓS? / AFTER ALL, WHAT ARE WE?",UC3NLkn1vW9IMbg9Gl6mHnZA,2019-05-26T23:45:46.000Z,https://i.ytimg.com/vi/EXLMzPGkq6g/default.jpg,video relacionado,3
6A6J5D9kpmg,"URGENTE! 2019, DATA LIMITE E FIM DO MUNDO! PROFECIAS E PREVISÕES, A INVASÃO DO ANTICRISTO",M Sanchez,UC0NNB_WbGdTeo21jOE7G9zg,2018-12-03T23:08:51.000Z,https://i.ytimg.com/vi/6A6J5D9kpmg/default.jpg,video relacionado,3
xPTtzUlkdoM,360º: O incrível mergulho debaixo de um iceberg na Antártida,BBC News Brasil,UCthbIFAxbXTTQEC7EcQvP1Q,2017-12-01T11:24:25.000Z,https://i.ytimg.com/vi/xPTtzUlkdoM/default.jpg,video relacionado,3
