video_id,video_name,channel_title,channel_id,published_at,thumbnail_url,type
cAQIDvyaMK4,Paying People To Eat The World's Hottest Beef Jerky! (Made w/ Carolina Reaper),EpicFiveTV,UCuPUHlLP5POZphOIrjrNxiw,2016-12-13T11:35:27.000Z,https://i.ytimg.com/vi/cAQIDvyaMK4/default.jpg,video relacionado
VoDH1DEZ3OI,Chilli Eating Contest | Grillstock Festival | Sunday 2nd July 2017,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2017-07-05T19:14:25.000Z,https://i.ytimg.com/vi/VoDH1DEZ3OI/default.jpg,video relacionado
mMy7wTGCnGQ,2015 Hooters World Wing Eating Championship,Hooters,UCilXPzuW0jWoj6xO4lwb8BA,2015-07-26T22:04:11.000Z,https://i.ytimg.com/vi/mMy7wTGCnGQ/default.jpg,video relacionado
73SvVbFryL0,Chilli Eating Contest MotoGP Silverstone Woodlands August 2018,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2018-08-31T08:41:19.000Z,https://i.ytimg.com/vi/73SvVbFryL0/default.jpg,video relacionado
9aMzUTTRh-Q,Chili Eating Contest - Great Dorset - Sunday 4th August 2019,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2019-08-13T11:51:39.000Z,https://i.ytimg.com/vi/9aMzUTTRh-Q/default.jpg,video relacionado
cZWgwGSEH-E,Chilli Eating Contest | Grillstock London | Sunday 6th Sept,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2015-09-10T20:56:28.000Z,https://i.ytimg.com/vi/cZWgwGSEH-E/default.jpg,video relacionado
jeYfu03WaXY,Hwy 55 National Hamburger Eating Competition - World Record 1:25,Derek Farley,UCdTJ3fZm-3uyUwvIT9FynEg,2018-06-03T13:50:13.000Z,https://i.ytimg.com/vi/jeYfu03WaXY/default.jpg,video relacionado
Wd4_0JN9GCc,Chilli Eating Contest - Great Dorset Chili Festival 2019 - Saturday 3rd August,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2019-08-09T09:23:39.000Z,https://i.ytimg.com/vi/Wd4_0JN9GCc/default.jpg,video relacionado
sGNkuZN8GXs,Chilli Pepper Eating Contest | Grillstock | Saturday 7 June 2014,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2014-06-09T18:18:54.000Z,https://i.ytimg.com/vi/sGNkuZN8GXs/default.jpg,video relacionado
dBsgE9OYn5g,Molly Schuyler destroys 11.2 lbs of burrito in 5 m,Eric Klamper,UCrcBpwukAHe_6QorZcqiM7Q,2014-09-22T19:18:20.000Z,https://i.ytimg.com/vi/dBsgE9OYn5g/default.jpg,video relacionado
u7kUuOpVBTc,"Nó Định Phá Kỷ Lục ĂN ỚT Hay Sao Mà Nguyên CHẢO ỚT KHỔNG LỒ Nó Quất Gần Hết, Eat Chili Warehouse TLV",Thánh Lầy Vlogs,UCJCaii5UnAtuhAeHTSCrMtQ,2019-03-29T11:43:30.000Z,https://i.ytimg.com/vi/u7kUuOpVBTc/default.jpg,video relacionado
cAQIDvyaMK4,Paying People To Eat The World's Hottest Beef Jerky! (Made w/ Carolina Reaper),EpicFiveTV,UCuPUHlLP5POZphOIrjrNxiw,2016-12-13T11:35:27.000Z,https://i.ytimg.com/vi/cAQIDvyaMK4/default.jpg,video relacionado
YTdeWsUHRXk,10 wings | 5 minutes!!! IMPOSSIBLE Food Challenges in the USA! (worst day of my life),Best Ever Food Review Show,UCcAd5Np7fO8SeejB1FVKcYw,2019-07-31T07:11:31.000Z,https://i.ytimg.com/vi/YTdeWsUHRXk/default.jpg,video relacionado
8G_SucsZz44,Chilli Eating Contest | Grillstock | Sunday 3rd July 2016,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2016-07-06T18:12:23.000Z,https://i.ytimg.com/vi/8G_SucsZz44/default.jpg,video relacionado
tjKzwmIsDTQ,Hot Dog Eating Contest - Silverstone Woodlands F1 Grand Prix 2019,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2019-07-18T13:48:12.000Z,https://i.ytimg.com/vi/tjKzwmIsDTQ/default.jpg,video relacionado
VoDH1DEZ3OI,Chilli Eating Contest | Grillstock Festival | Sunday 2nd July 2017,Clifton Chilli Club,UCDLqJTA7dTQG2kCB2T266_w,2017-07-05T19:14:25.000Z,https://i.ytimg.com/vi/VoDH1DEZ3OI/default.jpg,video relacionado
ZFyOKunbG3Y,Pho Eating Contest at the First OC Pho Festival in Fountain Valley | #RainaisCrazy,Raina Huang,UCFahBOND03FOwD3FXNLeaBg,2018-12-24T23:02:32.000Z,https://i.ytimg.com/vi/ZFyOKunbG3Y/default.jpg,video relacionado
OCg08oS5Oq4,12 LIFE HACKS WITH NUTELLA,Power Vision,UCatfiM69M9ZnNhOzy0jZ41A,2019-05-31T13:00:04.000Z,https://i.ytimg.com/vi/OCg08oS5Oq4/default.jpg,resultado de busca
QI1_RJUnD6k,VOCÊ NUNCA MAIS VAI COMER NUTELLA DEPOIS DESSE VÍDEO,Carol Capel,UC9ndLQ9z7bVzGAbOcZRNrUQ,2019-03-15T17:50:05.000Z,https://i.ytimg.com/vi/QI1_RJUnD6k/default.jpg,resultado de busca
